Instrument,Anonymized Lot,4 digit Seq,Customer Lot,Failure Date,Type of Procedures,Remaining Uses,Experience of Surgeon who performed Last Surgery(in Years),Experience Level
INS-002,LOT093,0459,LOT093-0459,5/29/2024,Sacrocolpopexy|Inguinal Hernia - Unilateral|Sacrocolpopexy|Other Colorectal|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Other Colorectal|Low Anterior Resection (LAR)|Other Colorectal|Hysterectomy - Malignant|Hysterectomy - Malignant,4,18,H
INS-011,LOT094,0361,LOT094-0361,5/29/2024,Other Colorectal|Parastomal Hernia Repair|Hysterectomy - Malignant|Hemicolectomy - Right|Sigmoid Colectomy|Rectopexy|Parastomal Hernia Repair,6,14,M
INS-008,LOT092,0735,LOT092-0735,5/29/2024,Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Parastomal Hernia Repair,7,18,H
INS-004,LOT057,0080,LOT057-0080,5/29/2024,Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Sacrocolpopexy|Hysterectomy - Malignant|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-008,LOT072,0658,LOT072-0658,5/29/2024,Appendectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Ileocolic Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Low Anterior Resection (LAR),2,18,H
INS-008,,0710,-710,5/30/2024,,0,,L
INS-008,LOT092,0738,LOT092-0738,5/30/2024,Cholecystectomy|Ureteral Reimplantation,6,14,M
INS-008,LOT092,0584,LOT092-0584,5/31/2024,Adrenalectomy|Low Anterior Resection (LAR)|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy,5,8,L
INS-001,LOT066,0061,LOT066-0061,5/31/2024,Incisional Hernia eTEP|Partial Nephrectomy|Nephrectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
INS-008,LOT072,0627,LOT072-0627,5/31/2024,Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other General Surgery|Abdominoperineal Resection (APR)|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-033,LOT095,0022,LOT095-0022,5/31/2024,,0,,L
INS-034,,0000,,5/28/2024,,0,,L
INS-001,LOT075,0062,LOT075-0062,6/3/2024,Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,7,18,H
INS-008,LOT092,0733,LOT092-0733,6/3/2024,Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy,5,8,L
INS-008,LOT092,0579,LOT092-0579,6/3/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-008,LOT092,0598,LOT092-0598,6/3/2024,Low Anterior Resection (LAR)|Incisional Hernia TAR|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hemicolectomy - Right,2,18,H
INS-005,LOT084,0162,LOT084-0162,6/4/2024,,0,,L
INS-035,,0000,,6/3/2024,,0,,L
INS-035,,0000,,6/3/2024,,0,,L
INS-002,LOT096,0312,LOT096-0312,6/6/2024,Sacrocolpopexy|Hysterectomy - Malignant|Other Gynecology|Hemicolectomy - Left|Hysterectomy - Malignant|Incisional Hernia IPOM|Hysterectomy - Malignant|Ileocecal Resection|Other Gynecology|Inguinal Hernia - Unilateral|Other Gynecology|Rectopexy|Rectopexy,2,18,H
INS-004,LOT097,0028,LOT097-0028,6/6/2024,Sacrocolpopexy|Other Gynecology|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign,7,18,H
INS-009,LOT002,0051,LOT002-0051,6/6/2024,Proctocolectomy|Other Colorectal,8,14,M
INS-001,LOT098,0390,LOT098-0390,6/6/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive|Sacrocolpopexy,13,18,H
INS-008,LOT092,0732,LOT092-0732,6/6/2024,Prostatectomy - Radical w/ Lymphadenectomy|Abdominoperineal Resection (APR)|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hysterectomy - Malignant|Rectopexy|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,0,11,M
INS-016,LOT099,0308,LOT099-0308,6/6/2024,Splenectomy|Low Anterior Resection (LAR)|Hemicolectomy - Right|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Hemicolectomy - Right|Esophagectomy Non-Transthoracic - Transcervical|Low Anterior Resection (LAR)|Sigmoid Colectomy|Nephrectomy|Hemicolectomy - Right,11,18,H
INS-001,LOT075,0072,LOT075-0072,6/6/2024,Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-008,,0019,-19,6/6/2024,,0,,L
INS-008,LOT092,0588,LOT092-0588,6/6/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Low Anterior Resection (LAR)|Parastomal Hernia Repair,4,18,H
INS-001,LOT037,0089,LOT037-0089,6/6/2024,Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Sacrocolpopexy|Partial Nephrectomy|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-001,,0066,-66,6/6/2024,,0,,L
INS-008,LOT092,0736,LOT092-0736,6/7/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,4,18,H
INS-001,LOT075,0083,LOT075-0083,6/7/2024,Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant,5,8,L
INS-008,LOT092,0719,LOT092-0719,6/7/2024,Ileocolic Resection|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-008,LOT092,0737,LOT092-0737,6/7/2024,Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Liver Resection|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-001,LOT037,0107,LOT037-0107,6/7/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive|Other Urology|Other Reconstuctive|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant,1,10,M
INS-001,LOT098,0376,LOT098-0376,6/10/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive,12,14,M
INS-008,LOT092,0594,LOT092-0594,6/10/2024,Incisional Hernia TAR|Prostatectomy - Radical w/ Lymphadenectomy|Parastomal Hernia Repair|Other Colorectal|Partial Nephrectomy,3,8,L
INS-008,LOT092,0717,LOT092-0717,6/10/2024,Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia eTEP|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Hysterectomy - Malignant,1,10,M
INS-008,LOT079,0542,LOT079-0542,6/10/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-008,LOT092,0605,LOT092-0605,6/10/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right,5,8,L
INS-033,LOT089,0052,LOT089-0052,6/10/2024,,0,,L
INS-018,LOT100,0352,LOT100-0352,6/3/2024,,0,,L
INS-001,,0053,-53,6/10/2024,,0,,L
INS-036,LOT101,0000,,6/10/2024,,0,,L
INS-011,LOT086,0599,LOT086-0599,6/11/2024,Hysterectomy - Malignant|Other Colorectal|Hysterectomy - Malignant|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Hysterectomy - Malignant|Ileostomy Takedown|Low Anterior Resection (LAR)|Rectopexy|Appendectomy,3,8,L
INS-008,LOT092,0593,LOT092-0593,6/11/2024,Adrenalectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Parastomal Hernia Repair|Other Colorectal,4,18,H
INS-008,LOT072,0638,LOT072-0638,6/11/2024,Abdominoperineal Resection (APR)|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Adrenalectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,3,8,L
INS-001,LOT079,0047,LOT079-0047,6/11/2024,Prostatectomy - Radical Extraperitoneal w/o Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Liver Wedge Resection,10,18,H
INS-008,LOT092,0731,LOT092-0731,6/11/2024,Cholecystectomy|Inguinal Hernia - Unilateral|Ureteral Reimplantation,7,18,H
INS-001,LOT098,0429,LOT098-0429,6/12/2024,Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy,10,18,H
INS-001,LOT098,0418,LOT098-0418,6/12/2024,Hysterectomy - Malignant|Inguinal Hernia - Unilateral|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,14,18,H
INS-008,LOT066,0120,LOT066-0120,6/17/2024,Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Nephrectomy|Hemicolectomy - Right,2,18,H
INS-001,LOT098,0410,LOT098-0410,6/17/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,13,18,H
INS-011,LOT102,0198,LOT102-0198,6/17/2024,Hysterectomy - Malignant|Other Reconstuctive|Hysterectomy - Malignant|Ileostomy Takedown|Hysterectomy - Malignant|Other General Surgery|Ileocolic Resection|Other Reconstuctive|Prostatectomy - Radical w/o Lymphadenectomy|Proctocolectomy|Other Colorectal|Hysterectomy - Malignant|Liver Resection,1,10,M
INS-008,LOT079,0545,LOT079-0545,6/18/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Liver Wedge Resection|Rectopexy|Inguinal Hernia - Unilateral|Liver Resection,3,8,L
INS-033,LOT103,0011,LOT103-0011,6/18/2024,,0,,L
INS-033,LOT104,0023,LOT104-0023,6/18/2024,,0,,L
INS-017,LOT005,0233,LOT005-0233,6/18/2024,,0,,L
INS-001,LOT066,0066,LOT066-0066,6/18/2024,Incisional Hernia TAR|Incisional Hernia TAPP|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Umbilical Hernia TAPP|Incisional Hernia eTEP,11,18,H
INS-001,LOT098,0399,LOT098-0399,6/18/2024,Inguinal Hernia - Bilateral|Ventral Hernia TAPP|Cholecystectomy|Cholecystectomy,14,18,H
INS-001,LOT066,0053,LOT066-0053,6/18/2024,Ureteral Reimplantation|Cholecystectomy|Incisional Hernia TAPP|Cholecystectomy|Inguinal Hernia - Bilateral|Inguinal Hernia - Unilateral|Incisional Hernia eTEP|Thymectomy|Inguinal Hernia - Unilateral|Incisional Hernia TAR|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-008,LOT105,0286,LOT105-0286,6/21/2024,Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal|Hysterectomy - Malignant|Nephrectomy,4,18,H
INS-004,LOT097,0031,LOT097-0031,6/21/2024,Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive|Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,6,14,M
INS-001,LOT098,0436,LOT098-0436,6/21/2024,Sacrocolpopexy|Hysterectomy - Malignant|Sacrocolpopexy|Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia eTEP|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
INS-001,LOT098,0403,LOT098-0403,6/21/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,11,18,H
INS-011,LOT106,0176,LOT106-0176,6/25/2024,Low Anterior Resection (LAR)|Other Colorectal|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Abdominoperineal Resection (APR)|Adrenalectomy|Parastomal Hernia Repair|Hysterectomy - Malignant|Hysterectomy - Malignant|Parastomal Hernia Repair|Other Colorectal|Hemicolectomy - Right,2,18,H
INS-001,LOT079,0050,LOT079-0050,6/25/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Partial Nephrectomy|Sacrocolpopexy|Incisional Hernia TAR,8,14,M
INS-008,LOT079,0625,LOT079-0625,6/25/2024,Rectopexy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-001,LOT098,0408,LOT098-0408,6/27/2024,Sacrocolpopexy|Other Reconstuctive|Hysterectomy - Malignant|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,11,18,H
INS-001,LOT079,0049,LOT079-0049,6/27/2024,Hysterectomy - Benign|Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,7,18,H
INS-008,LOT079,0646,LOT079-0646,6/27/2024,Prostatectomy - Radical w/ Lymphadenectomy|Liver Wedge Resection|Other Gynecology|Other Urology|Other Colorectal|Hysterectomy - Malignant|Hysterectomy - Malignant|Endometriosis Resection|Hemicolectomy - Right,1,10,M
INS-004,LOT005,0253,LOT005-0253,6/27/2024,Sacrocolpopexy|Other Gynecology|Hysterectomy - Benign|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Reconstuctive,2,18,H
INS-008,LOT079,0547,LOT079-0547,6/27/2024,Abdominoperineal Resection (APR)|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-005,LOT102,0212,LOT102-0212,6/27/2024,,0,,L
INS-002,LOT093,0291,LOT093-0291,6/28/2024,Other Gynecology|Adrenalectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Other Colorectal|Sacrocolpopexy,5,8,L
INS-011,LOT107,0215,LOT107-0215,6/28/2024,Hemicolectomy - Right|Other Colorectal|Low Anterior Resection (LAR)|Hemicolectomy - Right|Hemicolectomy - Left|Nipple Sparing Mastectomy - Malignant w/ Implant Recon|Other Reconstuctive|Hemicolectomy - Right|Hysterectomy - Malignant|Hysterectomy - Malignant|Sigmoid Colectomy|Rectopexy|Rectopexy,1,10,M
INS-011,LOT108,0013,LOT108-0013,6/28/2024,Parastomal Hernia Repair|Appendectomy|Liver Wedge Resection|Hemicolectomy - Right|Hysterectomy - Malignant|Other Colorectal|Rectopexy,6,14,M
INS-011,LOT109,0364,LOT109-0364,6/28/2024,Other Colorectal|Other Colorectal|Other Colorectal|Other Colorectal|Hysterectomy - Malignant|Adrenalectomy|Other Colorectal|Hysterectomy - Malignant|Sigmoid Colectomy|Sigmoid Colectomy|Rectopexy,3,8,L
INS-008,LOT079,0544,LOT079-0544,7/3/2024,Hysterectomy - Malignant|Partial Nephrectomy|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Partial Nephrectomy|Other Colorectal,2,18,H
INS-011,LOT086,0597,LOT086-0597,7/3/2024,Ileocolic Resection|Hemicolectomy - Right|Sigmoid Colectomy|Low Anterior Resection (LAR)|Other Colorectal|Other General Surgery|Abdominoperineal Resection (APR)|Parastomal Hernia Repair|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Hysterectomy - Malignant,2,18,H
INS-001,LOT079,0035,LOT079-0035,7/3/2024,Hysterectomy - Benign|Partial Nephrectomy|Nephrectomy|Inguinal Hernia - Unilateral|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Hysterectomy - Benign|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy,7,18,H
INS-008,LOT079,0620,LOT079-0620,7/3/2024,Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Sacrocolpopexy,3,8,L
INS-011,LOT109,0015,LOT109-0015,7/3/2024,Endometriosis Resection|Other Reconstuctive|Hysterectomy - Malignant|Parastomal Hernia Repair|Hysterectomy - Malignant|Ileocecal Resection|Incisional Hernia IPOM|Other Colorectal|Other Colorectal|Cholecystectomy|Other General Surgery|Other Reconstuctive,2,18,H
INS-008,LOT079,0534,LOT079-0534,7/3/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Sigmoid Colectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,18,H
INS-001,LOT098,0396,LOT098-0396,7/3/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Gynecology|Hysterectomy - Benign|Hysterectomy - Benign|Hysterectomy - Malignant,7,18,H
INS-008,LOT092,0596,LOT092-0596,7/2/2024,Cholecystectomy|Cholecystectomy|Inguinal Hernia - Bilateral|Other Thoracic,4,18,H
INS-001,LOT098,0407,LOT098-0407,7/3/2024,Prostatectomy - Simple Transvesical|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,10,18,H
INS-008,LOT079,0541,LOT079-0541,7/8/2024,Other Reconstuctive|Myomectomy|Hemicolectomy - Right|Other Reconstuctive|Sacrocolpopexy|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-004,LOT062,0322,LOT062-0322,7/8/2024,Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Liver Wedge Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,5,8,L
INS-001,LOT098,0402,LOT098-0402,7/8/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy,10,18,H
INS-001,LOT098,0426,LOT098-0426,7/8/2024,Endometriosis Resection|Hysterectomy - Malignant,15,14,M
INS-037,LOT110,0011,LOT110-0011,7/9/2024,Radical Tonsillectomy,24,8,L
INS-038,,0000,,7/9/2024,,0,,L
INS-038,,0000,,7/9/2024,,0,,L
INS-001,LOT098,0385,LOT098-0385,7/10/2024,Hysterectomy - Malignant|Other Reconstuctive|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,10,18,H
INS-008,LOT092,0580,LOT092-0580,7/10/2024,Radical Cystectomy w/ Ileal Conduit|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Liver Resection|Nephrectomy,4,18,H
INS-001,LOT098,0404,LOT098-0404,7/10/2024,Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
INS-002,,0337,-337,7/10/2024,,0,,L
INS-008,LOT105,0285,LOT105-0285,7/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,2,18,H
INS-008,LOT079,0631,LOT079-0631,7/15/2024,Endometriosis Resection|Other Urology|Adrenalectomy|Cholecystectomy|Partial Nephrectomy|Partial Nephrectomy,2,18,H
INS-008,LOT079,0617,LOT079-0617,7/15/2024,Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/o Lymphadenectomy,1,10,M
INS-002,LOT111,0365,LOT111-0365,7/15/2024,Inguinal Hernia - Unilateral|Hysterectomy - Malignant|Incisional Hernia TAR|Rectopexy,11,18,H
INS-034,,0000,,7/8/2024,,0,,L
INS-036,LOT112,0000,,7/8/2024,,0,,L
INS-029,LOT113,0249,LOT113-0249,7/16/2024,,0,,L
INS-005,LOT114,0521,LOT114-0521,7/16/2024,,0,,L
INS-004,LOT018,0466,LOT018-0466,7/12/2024,Pulmonary Wedge Resection|Mediastinal Mass Resection|Esophagectomy Transthoracic - Chest Anastomosis|Heller Myotomy|Esophagectomy Transthoracic - Chest Anastomosis|Pulmonary Wedge Resection|Sleeve Gastrectomy|Other Thoracic|Heller Myotomy|Thymectomy|Gastrectomy - Total|Pulmonary Segmentectomy,2,18,H
INS-005,LOT115,0124,LOT115-0124,7/16/2024,,0,,L
INS-008,LOT079,0551,LOT079-0551,7/16/2024,Partial Nephrectomy|Hysterectomy - Malignant|Hysterectomy - Benign|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy,4,18,H
INS-008,LOT092,0595,LOT092-0595,7/16/2024,Radical Cystectomy w/ Ileal Conduit|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right|Hysterectomy - Benign,3,8,L
INS-022,LOT116,0082,LOT116-0082,7/16/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Myomectomy|Other Reconstuctive|Prostatectomy - Simple Transvesical|Hysterectomy - Benign|Other Gynecology,3,8,L
